from_player,to_player,assists
Draymond Green,Klay Thompson,2
Kevin Durant,Klay Thompson,2
Kevin Durant,Stephen Curry,1
Draymond Green,Zaza Pachulia,1
Draymond Green,Patrick McCaw,1
Patrick McCaw,Jordan Bell,1
Draymond Green,Nick Young,2
Jordan Bell,Nick Young,1
Shaun Livingston,Nick Young,2
Shaun Livingston,Kevin Durant,1
Stephen Curry,Kevin Durant,1
Draymond Green,Kevin Durant,4
Klay Thompson,Draymond Green,1
Kevin Durant,Draymond Green,1
Draymond Green,Shaun Livingston,1
Draymond Green,Stephen Curry,1
Stephen Curry,Zaza Pachulia,1
Stephen Curry,Nick Young,1
Shaun Livingston,David West,1
Stephen Curry,Klay Thompson,1
Klay Thompson,Stephen Curry,2
Kevin Durant,Jordan Bell,2
Kevin Durant,Patrick McCaw,1
Draymond Green,Jordan Bell,1
