date,opponent,team,assistant,finisher,assists
2017-10-17,HOU,GSW,Draymond Green,Klay Thompson,2
2017-10-17,HOU,GSW,Kevin Durant,Klay Thompson,2
2017-10-17,HOU,GSW,Kevin Durant,Stephen Curry,1
2017-10-17,HOU,GSW,Draymond Green,Zaza Pachulia,1
2017-10-17,HOU,GSW,Draymond Green,Patrick McCaw,1
2017-10-17,HOU,GSW,Patrick McCaw,Jordan Bell,1
2017-10-17,HOU,GSW,Draymond Green,Nick Young,2
2017-10-17,HOU,GSW,Jordan Bell,Nick Young,1
2017-10-17,HOU,GSW,Shaun Livingston,Nick Young,3
2017-10-17,HOU,GSW,Shaun Livingston,Kevin Durant,1
2017-10-17,HOU,GSW,Stephen Curry,Kevin Durant,1
2017-10-17,HOU,GSW,Draymond Green,Kevin Durant,4
2017-10-17,HOU,GSW,Klay Thompson,Draymond Green,1
2017-10-17,HOU,GSW,Kevin Durant,Draymond Green,1
2017-10-17,HOU,GSW,Draymond Green,Shaun Livingston,1
2017-10-17,HOU,GSW,Draymond Green,Stephen Curry,1
2017-10-17,HOU,GSW,Stephen Curry,Zaza Pachulia,1
2017-10-17,HOU,GSW,Klay Thompson,Stephen Curry,2
2017-10-17,HOU,GSW,Kevin Durant,Jordan Bell,2
2017-10-17,HOU,GSW,Draymond Green,Jordan Bell,1
2017-10-17,HOU,GSW,Stephen Curry,Nick Young,1
2017-10-17,HOU,GSW,Shaun Livingston,David West,1
2017-10-17,HOU,GSW,Stephen Curry,Klay Thompson,1
2017-10-17,HOU,GSW,Kevin Durant,Patrick McCaw,1
2017-10-25,TOR,GSW,Klay Thompson,Draymond Green,2
2017-10-25,TOR,GSW,Klay Thompson,Zaza Pachulia,1
2017-10-25,TOR,GSW,Stephen Curry,Kevin Durant,2
2017-10-25,TOR,GSW,Stephen Curry,Klay Thompson,3
2017-10-25,TOR,GSW,Draymond Green,Patrick McCaw,2
2017-10-25,TOR,GSW,Andre Iguodala,Jordan Bell,2
2017-10-25,TOR,GSW,Shaun Livingston,Klay Thompson,1
2017-10-25,TOR,GSW,Klay Thompson,David West,1
2017-10-25,TOR,GSW,David West,Klay Thompson,1
2017-10-25,TOR,GSW,Kevin Durant,Klay Thompson,1
2017-10-25,TOR,GSW,Andre Iguodala,Draymond Green,1
2017-10-25,TOR,GSW,Draymond Green,Kevin Durant,2
2017-10-25,TOR,GSW,Kevin Durant,Stephen Curry,3
2017-10-25,TOR,GSW,Klay Thompson,Kevin Durant,1
2017-10-25,TOR,GSW,Zaza Pachulia,Klay Thompson,1
2017-10-25,TOR,GSW,Zaza Pachulia,Kevin Durant,1
2017-10-25,TOR,GSW,Draymond Green,Jordan Bell,1
2017-10-25,TOR,GSW,Andre Iguodala,Stephen Curry,2
2017-10-25,TOR,GSW,Shaun Livingston,Kevin Durant,1
2017-10-25,TOR,GSW,Shaun Livingston,David West,1
2017-10-25,TOR,GSW,Kevin Durant,David West,1
2017-10-25,TOR,GSW,Draymond Green,Klay Thompson,1
2017-11-02,SAS,GSW,Zaza Pachulia,Draymond Green,1
2017-11-02,SAS,GSW,Klay Thompson,Zaza Pachulia,1
2017-11-02,SAS,GSW,Zaza Pachulia,Klay Thompson,1
2017-11-02,SAS,GSW,Draymond Green,Klay Thompson,3
2017-11-02,SAS,GSW,Kevin Durant,Klay Thompson,2
2017-11-02,SAS,GSW,Kevin Durant,Stephen Curry,1
2017-11-02,SAS,GSW,Draymond Green,Stephen Curry,1
2017-11-02,SAS,GSW,Patrick McCaw,David West,1
2017-11-02,SAS,GSW,Patrick McCaw,Klay Thompson,1
2017-11-02,SAS,GSW,Andre Iguodala,Klay Thompson,2
2017-11-02,SAS,GSW,Draymond Green,Andre Iguodala,1
2017-11-02,SAS,GSW,Draymond Green,Kevin Durant,2
2017-11-02,SAS,GSW,Kevin Durant,Draymond Green,1
2017-11-02,SAS,GSW,Stephen Curry,Draymond Green,2
2017-11-02,SAS,GSW,Kevin Durant,Zaza Pachulia,1
2017-11-02,SAS,GSW,Klay Thompson,Kevin Durant,1
2017-11-02,SAS,GSW,Stephen Curry,Klay Thompson,1
2017-11-02,SAS,GSW,Shaun Livingston,Kevin Durant,1
2017-11-02,SAS,GSW,Andre Iguodala,Draymond Green,1
2017-11-02,SAS,GSW,Jordan Bell,Kevin Durant,2
2017-11-02,SAS,GSW,Jordan Bell,Patrick McCaw,1
2017-11-02,SAS,GSW,Stephen Curry,Patrick McCaw,1
2017-11-02,SAS,GSW,Nick Young,Omri Casspi,1
2017-11-16,BOS,GSW,Draymond Green,Kevin Durant,2
2017-11-16,BOS,GSW,Klay Thompson,Zaza Pachulia,1
2017-11-16,BOS,GSW,Zaza Pachulia,Klay Thompson,1
2017-11-16,BOS,GSW,Stephen Curry,Zaza Pachulia,1
2017-11-16,BOS,GSW,Stephen Curry,Kevin Durant,1
2017-11-16,BOS,GSW,Kevin Durant,Nick Young,1
2017-11-16,BOS,GSW,Draymond Green,Nick Young,1
2017-11-16,BOS,GSW,Shaun Livingston,Andre Iguodala,2
2017-11-16,BOS,GSW,Andre Iguodala,Draymond Green,1
2017-11-16,BOS,GSW,Klay Thompson,Andre Iguodala,1
2017-11-16,BOS,GSW,Klay Thompson,David West,1
2017-11-16,BOS,GSW,Draymond Green,Zaza Pachulia,1
2017-11-16,BOS,GSW,Stephen Curry,Klay Thompson,2
2017-11-16,BOS,GSW,Shaun Livingston,Klay Thompson,1
2017-11-16,BOS,GSW,Kevin Durant,Draymond Green,1
2017-11-16,BOS,GSW,Shaun Livingston,Kevin Durant,1
2017-11-16,BOS,GSW,Stephen Curry,Omri Casspi,1
2017-11-16,BOS,GSW,Draymond Green,Stephen Curry,1
2017-11-16,BOS,GSW,Kevin Durant,Stephen Curry,1
2017-12-25,CLE,GSW,Patrick McCaw,Klay Thompson,1
2017-12-25,CLE,GSW,Draymond Green,Klay Thompson,4
2017-12-25,CLE,GSW,Draymond Green,Kevin Durant,2
2017-12-25,CLE,GSW,Jordan Bell,Klay Thompson,1
2017-12-25,CLE,GSW,Kevon Looney,Andre Iguodala,1
2017-12-25,CLE,GSW,Klay Thompson,Draymond Green,1
2017-12-25,CLE,GSW,Draymond Green,Shaun Livingston,2
2017-12-25,CLE,GSW,Patrick McCaw,Jordan Bell,1
2017-12-25,CLE,GSW,Jordan Bell,Kevin Durant,1
2017-12-25,CLE,GSW,Kevin Durant,Omri Casspi,2
2017-12-25,CLE,GSW,Draymond Green,Jordan Bell,3
2017-12-25,CLE,GSW,Klay Thompson,Patrick McCaw,1
2017-12-25,CLE,GSW,Kevin Durant,Patrick McCaw,1
2017-12-25,CLE,GSW,Jordan Bell,Patrick McCaw,1
2017-12-25,CLE,GSW,Andre Iguodala,Klay Thompson,1
2017-12-25,CLE,GSW,Shaun Livingston,Draymond Green,2
2017-12-25,CLE,GSW,Shaun Livingston,Kevin Durant,1
2017-12-25,CLE,GSW,David West,Draymond Green,1
2017-12-25,CLE,GSW,David West,Kevin Durant,1
2018-01-04,HOU,GSW,Andre Iguodala,Klay Thompson,4
2018-01-04,HOU,GSW,Draymond Green,Stephen Curry,4
2018-01-04,HOU,GSW,Klay Thompson,Draymond Green,1
2018-01-04,HOU,GSW,Stephen Curry,Zaza Pachulia,1
2018-01-04,HOU,GSW,Stephen Curry,Andre Iguodala,1
2018-01-04,HOU,GSW,Patrick McCaw,Klay Thompson,1
2018-01-04,HOU,GSW,Stephen Curry,Nick Young,1
2018-01-04,HOU,GSW,Nick Young,David West,1
2018-01-04,HOU,GSW,Draymond Green,Nick Young,1
2018-01-04,HOU,GSW,Draymond Green,David West,2
2018-01-04,HOU,GSW,David West,Klay Thompson,1
2018-01-04,HOU,GSW,Shaun Livingston,David West,1
2018-01-04,HOU,GSW,Andre Iguodala,Stephen Curry,1
2018-01-04,HOU,GSW,Draymond Green,Klay Thompson,2
2018-01-04,HOU,GSW,Patrick McCaw,Draymond Green,1
2018-01-04,HOU,GSW,Zaza Pachulia,Stephen Curry,1
2018-01-04,HOU,GSW,Klay Thompson,Andre Iguodala,2
2018-01-04,HOU,GSW,Andre Iguodala,Zaza Pachulia,1
2018-01-04,HOU,GSW,Draymond Green,Kevon Looney,1
2018-01-04,HOU,GSW,Stephen Curry,Kevon Looney,1
