date,opponent,team,assistant,finisher,assists
2017-10-25,TOR,GSW,Klay Thompson,Draymond Green,2
2017-10-25,TOR,GSW,Klay Thompson,Zaza Pachulia,1
2017-10-25,TOR,GSW,Stephen Curry,Kevin Durant,2
2017-10-25,TOR,GSW,Stephen Curry,Klay Thompson,3
2017-10-25,TOR,GSW,Draymond Green,Patrick McCaw,2
2017-10-25,TOR,GSW,Andre Iguodala,Jordan Bell,2
2017-10-25,TOR,GSW,Shaun Livingston,Klay Thompson,1
2017-10-25,TOR,GSW,Klay Thompson,David West,1
2017-10-25,TOR,GSW,David West,Klay Thompson,1
2017-10-25,TOR,GSW,Kevin Durant,Klay Thompson,1
2017-10-25,TOR,GSW,Andre Iguodala,Draymond Green,1
2017-10-25,TOR,GSW,Draymond Green,Kevin Durant,2
2017-10-25,TOR,GSW,Kevin Durant,Stephen Curry,3
2017-10-25,TOR,GSW,Klay Thompson,Kevin Durant,1
2017-10-25,TOR,GSW,Zaza Pachulia,Klay Thompson,1
2017-10-25,TOR,GSW,Zaza Pachulia,Kevin Durant,1
2017-10-25,TOR,GSW,Draymond Green,Jordan Bell,1
2017-10-25,TOR,GSW,Andre Iguodala,Stephen Curry,2
2017-10-25,TOR,GSW,Shaun Livingston,Kevin Durant,1
2017-10-25,TOR,GSW,Shaun Livingston,David West,1
2017-10-25,TOR,GSW,Kevin Durant,David West,1
2017-10-25,TOR,GSW,Draymond Green,Klay Thompson,1
