date,opponent,team,assistant,finisher,assists
2017-11-02,SAS,GSW,Zaza Pachulia,Draymond Green,1
2017-11-02,SAS,GSW,Klay Thompson,Zaza Pachulia,1
2017-11-02,SAS,GSW,Zaza Pachulia,Klay Thompson,1
2017-11-02,SAS,GSW,Draymond Green,Klay Thompson,3
2017-11-02,SAS,GSW,Kevin Durant,Klay Thompson,2
2017-11-02,SAS,GSW,Kevin Durant,Stephen Curry,1
2017-11-02,SAS,GSW,Draymond Green,Stephen Curry,1
2017-11-02,SAS,GSW,Patrick McCaw,David West,1
2017-11-02,SAS,GSW,Patrick McCaw,Klay Thompson,1
2017-11-02,SAS,GSW,Andre Iguodala,Klay Thompson,2
2017-11-02,SAS,GSW,Draymond Green,Andre Iguodala,1
2017-11-02,SAS,GSW,Draymond Green,Kevin Durant,2
2017-11-02,SAS,GSW,Kevin Durant,Draymond Green,1
2017-11-02,SAS,GSW,Stephen Curry,Draymond Green,2
2017-11-02,SAS,GSW,Kevin Durant,Zaza Pachulia,1
2017-11-02,SAS,GSW,Klay Thompson,Kevin Durant,1
2017-11-02,SAS,GSW,Stephen Curry,Klay Thompson,1
2017-11-02,SAS,GSW,Shaun Livingston,Kevin Durant,1
2017-11-02,SAS,GSW,Andre Iguodala,Draymond Green,1
2017-11-02,SAS,GSW,Jordan Bell,Kevin Durant,2
2017-11-02,SAS,GSW,Jordan Bell,Patrick McCaw,1
2017-11-02,SAS,GSW,Stephen Curry,Patrick McCaw,1
2017-11-02,SAS,GSW,Nick Young,Omri Casspi,1
