date,opponent,team,assistant,finisher,assists
2018-01-15,CLE,GSW,Kevin Durant,Klay Thompson,2
2018-01-15,CLE,GSW,Kevin Durant,Draymond Green,2
2018-01-15,CLE,GSW,Draymond Green,Stephen Curry,2
2018-01-15,CLE,GSW,Stephen Curry,Klay Thompson,3
2018-01-15,CLE,GSW,Kevin Durant,Jordan Bell,1
2018-01-15,CLE,GSW,Stephen Curry,Jordan Bell,1
2018-01-15,CLE,GSW,Klay Thompson,Kevin Durant,2
2018-01-15,CLE,GSW,Andre Iguodala,Kevin Durant,2
2018-01-15,CLE,GSW,Draymond Green,Klay Thompson,2
2018-01-15,CLE,GSW,David West,Shaun Livingston,1
2018-01-15,CLE,GSW,Stephen Curry,Kevon Looney,1
2018-01-15,CLE,GSW,Andre Iguodala,Stephen Curry,1
2018-01-15,CLE,GSW,Kevin Durant,Stephen Curry,2
2018-01-15,CLE,GSW,Stephen Curry,Kevin Durant,2
2018-01-15,CLE,GSW,Stephen Curry,Draymond Green,1
2018-01-15,CLE,GSW,Draymond Green,Kevin Durant,1
2018-01-15,CLE,GSW,Draymond Green,Shaun Livingston,2
2018-01-15,CLE,GSW,Draymond Green,David West,1
2018-01-15,CLE,GSW,Shaun Livingston,Draymond Green,1
2018-01-15,CLE,GSW,David West,Nick Young,1
2018-01-15,CLE,GSW,Kevin Durant,Nick Young,1
2018-01-15,CLE,GSW,Draymond Green,Andre Iguodala,1
