date,opponent,team,assistant,finisher,assists
2018-02-14,POR,GSW,Kevin Durant,Klay Thompson,1
2018-02-14,POR,GSW,Draymond Green,Kevin Durant,4
2018-02-14,POR,GSW,Stephen Curry,JaVale McGee,1
2018-02-14,POR,GSW,Kevin Durant,JaVale McGee,1
2018-02-14,POR,GSW,Stephen Curry,Kevin Durant,3
2018-02-14,POR,GSW,David West,Shaun Livingston,1
2018-02-14,POR,GSW,Klay Thompson,Shaun Livingston,1
2018-02-14,POR,GSW,Kevin Durant,Draymond Green,2
2018-02-14,POR,GSW,Kevin Durant,Stephen Curry,2
2018-02-14,POR,GSW,Klay Thompson,Kevin Durant,1
2018-02-14,POR,GSW,Stephen Curry,Draymond Green,1
2018-02-14,POR,GSW,Stephen Curry,Klay Thompson,1
2018-02-14,POR,GSW,Shaun Livingston,Draymond Green,1
2018-02-14,POR,GSW,Draymond Green,David West,1
2018-02-14,POR,GSW,Draymond Green,Klay Thompson,1
2018-02-14,POR,GSW,Draymond Green,Stephen Curry,1
2018-02-14,POR,GSW,Andre Iguodala,Kevin Durant,1
